object_id,region_id,raw_label,nyu_id,nyu40_id,nyu_label,nyu40_label,object_bbox_cx,object_bbox_cy,object_bbox_cz,object_bbox_xlength,object_bbox_ylength,object_bbox_zlength,object_bbox_heading,object_front_heading,object_color_r1,object_color_g1,object_color_b1,object_color_scheme1,object_color_scheme_percentage1,object_color_scheme_average_dist1,object_color_r2,object_color_g2,object_color_b2,object_color_scheme2,object_color_scheme_percentage2,object_color_scheme_average_dist2,object_color_r3,object_color_g3,object_color_b3,object_color_scheme3,object_color_scheme_percentage3,object_color_scheme_average_dist3
0,0,clock,-1,-1,clock,clock,6.104824542999268,2.8125144243240356,2.0371010303497314,0.08,0.30360404253005946,0.1794945299625399,1.5483314994965982,,,,,N/A,0,,,,,N/A,0,,,,,N/A,0,
1,0,chair,-1,-1,chair,chair,0.3240363597869873,3.0808658599853516,0.7260520458221436,1.4357237756252281,2.0391985893249513,1.4522557854652398,1.1955707901246582,,,,,N/A,0,,,,,N/A,0,,,,,N/A,0,
2,0,chair,-1,-1,chair,chair,2.5675339698791504,3.1435673236846924,0.49683016538619995,0.9745638847351077,2.090278887748718,1.126389876008034,1.5379285831745455,,,,,N/A,0,,,,,N/A,0,,,,,N/A,0,
3,0,chair,-1,-1,chair,chair,4.314772605895996,4.06031608581543,0.5322220325469971,0.9184663772583006,1.235077714920044,1.1516885191202164,1.8698305535338078,,,,,N/A,0,,,,,N/A,0,,,,,N/A,0,
4,0,trash bin,-1,-1,trash bin,trash bin,2.8551151752471924,-0.3975331485271454,0.27482157945632935,0.36559247970581055,0.19986236095428467,0.1608557403087616,2.827624392769405,,,,,N/A,0,,,,,N/A,0,,,,,N/A,0,
5,0,plant,-1,-1,plant,plant,-1.0833023190498352,3.6662925481796265,0.48923996090888977,0.42842460274696337,0.6973472118377684,0.9642747074365615,1.882354748115736,,,,,N/A,0,,,,,N/A,0,,,,,N/A,0,
6,0,cup,-1,-1,cup,cup,3.112518548965454,1.4180710315704346,0.7669715881347656,1.5428574085235596,1.6980753421783445,0.08,0.8294074486436457,,,,,N/A,0,,,,,N/A,0,,,,,N/A,0,
7,0,lamp,-1,-1,lamp,lamp,0.9860848188400269,2.998042106628418,2.772435426712036,0.4664676070213317,0.642143154144287,0.28914802074432355,1.9914479952926618,,,,,N/A,0,,,,,N/A,0,,,,,N/A,0,
8,0,tv monitor,-1,-1,tv monitor,tv monitor,4.045205593109131,1.4416092038154602,0.7711045742034912,0.3959169507026674,0.1488120913505553,0.08,2.864694758080558,,,,,N/A,0,,,,,N/A,0,,,,,N/A,0,
9,0,tv monitor,-1,-1,tv monitor,tv monitor,0.8145998120307922,1.9237837195396423,1.0649078488349915,0.7390349209308624,0.9162145853042603,0.5119695216417313,2.291367324173987,,,,,N/A,0,,,,,N/A,0,,,,,N/A,0,
10,0,tv monitor,-1,-1,tv monitor,tv monitor,3.4975366592407227,2.6567190885543823,1.0234484672546387,0.7786846876144411,1.2551392078399655,0.4676293373107909,0.9337420271150705,,,,,N/A,0,,,,,N/A,0,,,,,N/A,0,
11,0,chair,-1,-1,chair,chair,1.58405601978302,4.055299282073975,0.5225518345832825,1.0253455638885498,1.3775393962860107,0.9836273938417435,1.9293536029911307,,,,,N/A,0,,,,,N/A,0,,,,,N/A,0,
12,0,door,-1,-1,door,door,5.656658887863159,-0.7413517236709595,1.0492812991142273,0.3103898763656616,0.08,1.1561195611953734,3.141592547961096,,,,,N/A,0,,,,,N/A,0,,,,,N/A,0,
13,0,cup,-1,-1,cup,cup,0.4119473993778229,1.4921993613243103,0.7669715285301208,0.689750975370407,0.3041673004627228,0.08,-2.7486368139515664,,,,,N/A,0,,,,,N/A,0,,,,,N/A,0,
14,0,chair,-1,-1,chair,chair,2.461719274520874,2.2648561000823975,0.5423179864883423,0.806417620182037,2.0901790618896485,0.9616885989904403,1.3153470179396962,,,,,N/A,0,,,,,N/A,0,,,,,N/A,0,
15,0,lamp,-1,-1,lamp,lamp,0.5204225778579712,0.3889947086572647,2.781370997428894,1.3361581563949585,0.5003051310777664,0.2988157868385315,-2.908869997408782,,,,,N/A,0,,,,,N/A,0,,,,,N/A,0,
16,0,door,-1,-1,door,door,6.051897048950195,-1.7453187704086304,0.6695290207862854,0.08,0.8197401344776154,0.9024326562881468,1.5828106325631248,,,,,N/A,0,,,,,N/A,0,,,,,N/A,0,
17,0,cabinet shelf,-1,-1,cabinet shelf,cabinet shelf,4.616524696350098,-0.21995556354522705,0.2856487035751343,0.9110244750976566,0.25720921009778963,0.6930478721857071,2.9339071369212624,,,,,N/A,0,,,,,N/A,0,,,,,N/A,0,
18,0,door,-1,-1,door,door,-1.331889271736145,0.3948263078927994,1.8762824535369873,0.08,0.8791426867246628,0.4258977472782137,1.5749284403067862,,,,,N/A,0,,,,,N/A,0,,,,,N/A,0,
